file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/collection/CharSeq.java,io.vavr.collection.CharSeq,class,32,59,27,32,353,1,0,236,11632,0.80337936,0.0,0.0,217,17,210,4,0,3,213,0,0,0,3,2,0,3,0,0,3,0,231,1165,264,31,25,0,7,62,85,124,27,110,4,0,2,5,796,17,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern3,innerclass,12,12,0,12,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,73,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$ForLazy3Validation,innerclass,10,10,0,10,2,1,0,7,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,3,0,1,20,3,0,0,0,0,1,0,3,0,6,2,0,0,3,78,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern2,innerclass,10,10,0,10,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,70,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern1,innerclass,8,8,0,8,2,1,0,0,1,1.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,23,1,0,0,0,0,0,1,1,0,1,0,1,0,0,64,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/main/java/io/vavr/API.java,io.vavr.API$Match$Pattern0,innerclass,5,5,0,5,3,1,0,0,3,0.8333334,0.0,0.0,3,2,2,0,1,0,3,0,0,0,2,2,0,2,0,0,2,0,0,30,2,0,0,0,0,1,1,2,0,2,0,2,0,0,48,1033,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/collection/JavaConverters.java,io.vavr.collection.JavaConverters$HasDelegate,innerclass,3,3,0,3,9,1,0,3,0,0.6111111,0.0,0.0,6,0,0,0,4,2,6,0,0,0,3,1,0,3,0,0,2,0,0,34,3,0,1,0,0,1,1,8,0,6,1,0,0,0,38,1034,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/test/java/io/vavr/OutputTester.java,io.vavr.OutputTester$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src/main/java/io/vavr/collection/LinkedHashMultimap.java,io.vavr.collection.LinkedHashMultimap,class,14,22,8,14,10,2,0,3,45,1.0,0.0,0.0,10,5,6,1,3,0,9,0,0,0,1,1,0,1,0,0,1,0,3,133,9,0,0,0,0,2,1,1,0,1,0,0,1,1,69,17,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/test/java/io/vavr/APITest.java,io.vavr.APITest$MatchPatternTests$ClzMatch2,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/vavr-io__vavr/vavr/src-gen/test/java/io/vavr/APITest.java,io.vavr.APITest$MatchPatternTests$ClzMatch1,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
