owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
langchain-ai,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,135389,22387,554,Python,2022-10-17T02:58:36Z,2026-04-29T21:58:14Z,master,18244,35113,APPROVED,ccurme
open-webui,open-webui,open-webui/open-webui,https://github.com/open-webui/open-webui,134828,19160,315,Python,2023-10-06T22:08:27Z,2026-04-24T10:07:14Z,main,7466,24204,COMMENTED,PHclaw
labuladong,fucking-algorithm,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,133371,23634,1,Markdown,2020-02-19T09:01:23Z,2026-02-28T10:07:31Z,master,509,2611,APPROVED,labuladong
microsoft,PowerToys,microsoft/PowerToys,https://github.com/microsoft/PowerToys,132367,7911,6726,C#,2019-05-01T17:44:02Z,2026-04-29T19:21:43Z,main,7769,47140,COMMENTED,niels9001
Chalarangelo,30-seconds-of-code,Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,127629,12482,1,JavaScript,2017-11-29T17:35:03Z,2026-04-21T22:12:54Z,master,1656,2153,APPROVED,Chalarangelo
krahets,hello-algo,krahets/hello-algo,https://github.com/krahets/hello-algo,125766,15089,30,Java,2022-11-04T11:08:34Z,2026-04-18T18:23:33Z,main,1260,1881,COMMENTED,krahets
NousResearch,hermes-agent,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,124930,18628,7169,Python,2025-07-22T22:22:28Z,2026-04-29T22:40:07Z,main,13427,17623,COMMENTED,OutThisLife
excalidraw,excalidraw,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,122220,13465,3024,TypeScript,2020-01-02T01:04:43Z,2026-04-29T21:01:03Z,master,5950,11257,COMMENTED,mtolmacs
kubernetes,kubernetes,kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,121998,42944,2703,Go,2014-06-06T22:56:04Z,2026-04-29T21:13:23Z,master,88942,138659,APPROVED,jpbetz
electron,electron,electron/electron,https://github.com/electron/electron,121072,17154,852,C++,2013-04-12T01:47:36Z,2026-04-29T23:00:05Z,main,28816,51279,COMMENTED,ckerr
ripienaar,free-for-dev,ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,121008,12626,12,HTML,2015-03-18T21:06:26Z,2026-04-29T20:27:18Z,master,4101,4271,COMMENTED,ripienaar
anthropics,claude-code,anthropics/claude-code,https://github.com/anthropics/claude-code,119212,19789,10793,Shell,2025-02-22T17:41:21Z,2026-04-29T03:29:13Z,main,962,41611,CHANGES_REQUESTED,mehmoodosman
microsoft,markitdown,microsoft/markitdown,https://github.com/microsoft/markitdown,118698,7839,647,Python,2024-11-13T19:56:40Z,2026-04-20T17:52:20Z,main,566,1731,APPROVED,ishu94627-web
nodejs,node,nodejs/node,https://github.com/nodejs/node,116974,35462,2647,JavaScript,2014-11-26T19:57:11Z,2026-04-29T17:55:57Z,main,40172,62924,COMMENTED,addaleax
justjavac,free-programming-books-zh_CN,justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,116790,28308,33,,2013-11-04T01:59:19Z,2024-07-15T08:55:20Z,main,464,856,APPROVED,Aglowharmony
iptv-org,iptv,iptv-org/iptv,https://github.com/iptv-org/iptv,115622,6057,15,TypeScript,2018-11-14T22:00:57Z,2026-04-29T00:30:56Z,master,7601,37237,COMMENTED,JulioCesarXY
shadcn-ui,ui,shadcn-ui/ui,https://github.com/shadcn-ui/ui,113234,8683,1855,TypeScript,2023-01-04T12:43:27Z,2026-04-29T18:30:23Z,main,3977,2042,APPROVED,selimmh
rustdesk,rustdesk,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,113165,16977,111,Rust,2020-09-28T15:36:08Z,2026-04-29T15:11:28Z,master,5074,13540,COMMENTED,workingjubilee
firecrawl,firecrawl,firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,113105,7200,298,TypeScript,2024-04-15T21:02:29Z,2026-04-29T14:59:34Z,main,2498,3459,APPROVED,mogery
d3,d3,d3/d3,https://github.com/d3/d3,112809,22751,29,Shell,2010-09-27T17:22:42Z,2025-12-02T17:48:19Z,main,1211,3844,APPROVED,mbostock
rust-lang,rust,rust-lang/rust,https://github.com/rust-lang/rust,112424,14840,12324,Rust,2010-06-16T20:39:03Z,2026-04-29T21:53:59Z,main,92825,155939,CHANGES_REQUESTED,nikomatsakis
mrdoob,three.js,mrdoob/three.js,https://github.com/mrdoob/three.js,112245,36355,515,JavaScript,2010-03-23T18:58:01Z,2026-04-29T21:29:18Z,dev,19610,33475,COMMENTED,shotamatsuda
Hack-with-Github,Awesome-Hacking,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,111266,10234,27,,2016-03-30T15:47:10Z,2026-04-24T14:00:36Z,master,149,205,COMMENTED,1oosedows
Comfy-Org,ComfyUI,Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,110647,12914,4009,Python,2023-01-17T03:15:56Z,2026-04-29T20:37:54Z,master,3804,13618,COMMENTED,rattus128
godotengine,godot,godotengine/godot,https://github.com/godotengine/godot,110109,25154,18125,C++,2014-01-04T16:05:36Z,2026-04-29T17:34:12Z,master,55773,119061,APPROVED,TokageItLab
microsoft,generative-ai-for-beginners,microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,110015,59033,0,Jupyter Notebook,2023-06-19T16:28:59Z,2026-04-26T18:42:41Z,main,793,1204,APPROVED,leestott
microsoft,TypeScript,microsoft/TypeScript,https://github.com/microsoft/TypeScript,108704,13373,5030,TypeScript,2014-06-17T15:28:39Z,2026-04-27T19:32:49Z,main,19131,62699,APPROVED,RyanCavanaugh
ggml-org,llama.cpp,ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,107445,17570,1558,C++,2023-03-10T18:58:00Z,2026-04-29T22:42:54Z,master,11263,22273,APPROVED,pwilkin
