owner,repo,full_name,html_url,stargazers_count,forks_count,open_issues_count,language,created_at,pushed_at,default_branch,total_prs,review_probe_pr,review_probe_state,review_probe_human_reviewer
isocpp,CppCoreGuidelines,isocpp/CppCoreGuidelines,https://github.com/isocpp/CppCoreGuidelines,44931,5544,247,CSS,2015-08-19T20:22:52Z,2026-04-16T19:07:57Z,master,1052,2321,COMMENTED,beinhaerter
meteor,meteor,meteor/meteor,https://github.com/meteor/meteor,44767,5256,355,JavaScript,2012-01-19T01:58:17Z,2026-04-29T22:55:24Z,devel,4744,14112,COMMENTED,nachocodoner
CherryHQ,cherry-studio,CherryHQ/cherry-studio,https://github.com/CherryHQ/cherry-studio,44758,4255,1109,TypeScript,2024-05-24T01:56:26Z,2026-04-29T17:48:06Z,main,4442,10162,COMMENTED,0xfullex
GitSquared,edex-ui,GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,44725,3097,6,JavaScript,2017-01-28T09:35:02Z,2021-10-19T22:38:47Z,master,474,1157,APPROVED,GitSquared
grpc,grpc,grpc/grpc,https://github.com/grpc/grpc,44691,11144,1305,C++,2014-12-08T18:58:53Z,2026-04-29T22:10:49Z,master,29969,41937,COMMENTED,anniefrchz
pyenv,pyenv,pyenv/pyenv,https://github.com/pyenv/pyenv,44684,3249,56,Shell,2012-08-31T06:57:52Z,2026-04-29T05:26:30Z,master,1268,3434,COMMENTED,native-api
react-hook-form,react-hook-form,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,44684,2392,128,TypeScript,2019-03-05T23:47:10Z,2026-04-29T21:54:55Z,master,2784,13404,APPROVED,bluebill1049
iina,iina,iina/iina,https://github.com/iina/iina,44653,2806,1909,Swift,2016-12-19T07:18:45Z,2026-04-29T14:30:50Z,develop,1379,6040,CHANGES_REQUESTED,low-batt
vercel,hyper,vercel/hyper,https://github.com/vercel/hyper,44590,3550,1040,TypeScript,2016-07-01T06:01:21Z,2026-04-20T12:29:35Z,canary,4193,3069,APPROVED,thetaurean
9001,copyparty,9001/copyparty,https://github.com/9001/copyparty,44557,1811,248,Python,2019-05-26T15:28:33Z,2026-04-24T22:42:51Z,hovudstraum,264,1184,COMMENTED,Scotsguy
streamlit,streamlit,streamlit/streamlit,https://github.com/streamlit/streamlit,44398,4217,1303,Python,2019-08-24T00:14:52Z,2026-04-29T22:32:34Z,develop,8913,14975,COMMENTED,lukasmasuch
SimplifyJobs,Summer2026-Internships,SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,44352,3177,4,Python,2020-05-23T20:53:18Z,2026-04-29T23:31:17Z,dev,1961,9295,APPROVED,joshtseng41603
exo-explore,exo,exo-explore/exo,https://github.com/exo-explore/exo,44211,3100,197,Python,2024-06-24T18:36:22Z,2026-04-29T23:19:50Z,main,1141,2006,APPROVED,Evanev7
helix-editor,helix,helix-editor/helix,https://github.com/helix-editor/helix,44167,3439,1519,Rust,2020-06-01T04:26:56Z,2026-04-28T23:25:11Z,master,6611,14951,COMMENTED,EmrysMyrddin
cli,cli,cli/cli,https://github.com/cli/cli,44141,8351,991,Go,2019-10-03T15:24:53Z,2026-04-29T15:34:10Z,trunk,4103,13312,COMMENTED,tidy-dev
