file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/execution/NodeTaskMap.java,com.facebook.presto.execution.NodeTaskMap$NodeTasks$PartitionedSplitsTracker,innerclass,3,3,0,3,13,1,0,14,0,0.4,0.0,0.0,5,0,4,1,0,0,4,0,0,1,5,0,0,5,0,0,5,0,4,47,2,0,5,0,0,9,8,11,3,11,1,0,0,0,48,10,1
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/sql/planner/iterative/rule/test/BaseRuleTest.java,com.facebook.presto.sql.planner.iterative.rule.test.BaseRuleTest,class,8,106,98,8,9,1,98,13,4,0.5555556,0.0,0.0,9,0,3,0,6,0,9,0,1,0,2,0,0,1,1,0,0,0,0,32,4,0,0,0,0,4,0,3,2,2,0,0,0,0,45,1025,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/split/MockSplitSource.java,com.facebook.presto.split.MockSplitSource$MockConnectorSplit,innerclass,4,4,0,4,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,24,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/geospatial/SpatialPartitioningStateFactory.java,com.facebook.presto.geospatial.SpatialPartitioningStateFactory$GroupedSpatialPartitioningState,innerclass,7,7,0,7,10,1,0,7,0,0.5925926,0.0,0.0,9,0,9,0,0,0,9,0,0,0,6,1,0,6,0,0,4,0,0,42,4,0,1,0,0,0,0,8,2,7,1,0,0,0,41,25,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/test/java/com/facebook/presto/split/MockSplitSource.java,com.facebook.presto.split.MockSplitSource,class,14,16,2,14,24,1,0,15,42,0.82407403,0.0,0.0,12,0,11,1,0,0,12,0,0,0,9,2,0,9,0,0,2,0,3,97,6,0,7,0,0,6,1,11,1,11,2,1,2,1,86,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-hive/src/main/java/com/facebook/presto/hive/authentication/CachingKerberosHadoopAuthentication.java,com.facebook.presto.hive.authentication.CachingKerberosHadoopAuthentication,class,6,8,2,6,9,1,0,10,0,0.5500001,0.0,0.0,5,1,2,3,0,0,2,0,0,0,4,0,0,4,0,0,2,0,5,30,3,0,2,0,0,6,0,7,0,6,2,0,0,0,39,1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-thrift-api/src/main/java/com/facebook/presto/thrift/api/connector/NameValidationUtils.java,com.facebook.presto.thrift.api.connector.NameValidationUtils,class,0,4,4,0,5,1,0,4,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,0,0,3,3,2,0,2,1,0,0,0,24,16,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/operator/aggregation/state/ReduceAggregationStateFactory.java,com.facebook.presto.operator.aggregation.state.ReduceAggregationStateFactory$GroupedState,innerclass,5,5,0,5,4,2,0,9,0,0.41666666,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,2,0,2,18,2,0,0,0,0,0,0,4,2,3,0,0,0,0,30,9,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main-base/src/main/java/com/facebook/presto/operator/TrackingLookupSourceSupplier.java,com.facebook.presto.operator.TrackingLookupSourceSupplier$Anonymous1,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/prestodb__presto/presto-main/src/main/java/com/facebook/presto/server/TaskResource.java,com.facebook.presto.server.TaskResource,class,37,40,3,37,23,1,0,51,0,0.6805555,0.0,0.0,12,1,11,1,0,0,11,0,0,0,6,1,0,6,0,0,6,0,21,107,9,0,5,0,1,45,2,26,2,22,2,0,0,4,96,1,0
