file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/androidTest/java/com/jeremyliao/lebapp/obj/GoodBean.java,GoodBean,getIntValue/0,false,23,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous4,run/0,false,139,3,29,0,29,1,4,9,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/liveeventbus-x/src/main/java/com/jeremyliao/liveeventbus/logger/DefaultLogger.java,DefaultLogger,"log/2[Level,String]",false,15,1,0,0,0,6,5,17,0,0,2,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/liveeventbus-x/src/main/java/com/jeremyliao/liveeventbus/logger/DefaultLogger.java,DefaultLogger,"log/3[Level,String,Throwable]",false,30,1,0,0,0,6,5,17,0,0,3,5,0,0,0,5,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous6,run/0,false,161,3,29,0,29,1,4,10,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous50,onChanged/1[java.lang.String],false,806,1,4,0,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-v2/app-v2/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,LiveEventBusDemo$Anonymous17,onChanged/1[String],false,224,2,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous51,onChanged/1[java.lang.Boolean],false,826,2,3,0,3,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/app/src/main/java/com/jeremyliao/lebapp/activity/IpcTestActivity.java,IpcTestActivity$Anonymous1,onChanged/1[Object],false,27,3,0,0,0,1,5,7,0,1,1,5,0,0,0,0,0,0,2,0,1,2,0,0,0,0,9,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous52,onChanged/1[java.lang.String],false,849,2,4,0,4,1,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous4,run/0,false,131,3,0,0,0,1,5,9,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,LiveEventBusDemo$Anonymous15,run/0,false,198,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous53,onChanged/1[java.lang.String],false,884,2,4,0,4,1,3,4,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous3,run/0,false,98,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,LiveEventBusDemo$Anonymous16,onChanged/1[String],false,215,2,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous54,onChanged/1[java.lang.Integer],false,903,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous2,run/0,false,72,2,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/lebx-processor-gson/src/main/java/com/jeremyliao/liveeventbus/processor/gson/converter/JsonConverter.java,JsonConverter,toJson/1[Object],false,8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-x/lebx-processor-gson/src/main/java/com/jeremyliao/liveeventbus/processor/gson/converter/JsonConverter.java,JsonConverter,"fromJson/2[String,Class<T>]",false,10,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,LiveEventBusDemo$Anonymous13,call/1[String],false,166,1,0,0,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/live-event-bus/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,com.jeremyliao.lebapp.LiveEventBusTest$Anonymous55,run/0,false,925,3,29,0,29,3,4,16,0,1,0,4,0,0,1,0,1,0,0,2,1,0,2,1,0,0,9,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous1,run/0,false,49,2,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/main/java/com/jeremyliao/lebapp/LiveEventBusDemo.java,LiveEventBusDemo$Anonymous14,run/0,false,191,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,1,0,false
/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/JeremyLiao__LiveEventBus/branchs/live-event-bus-classic/app/src/androidTest/java/com/jeremyliao/lebapp/LiveEventBusTest.java,LiveEventBusTest$Anonymous8,run/0,false,175,3,0,0,0,1,5,9,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,false
