repo,stars,age_days,age_years,merged_prs,releases,days_since_update,language,closed_issues,total_issues,closed_issue_ratio
conductor-oss/conductor,31507,822,2.25,345,33,0,Java,146,248,0.5887
OpenBMB/ChatDev,31487,924,2.53,136,11,10,Python,273,304,0.898
surrealdb/surrealdb,31476,1551,4.25,2615,121,0,Rust,1791,2386,0.7506
Dokploy/dokploy,31461,689,1.89,1347,149,0,TypeScript,1289,1675,0.7696
raysan5/raylib,31455,4519,12.37,2451,24,0,C,2129,2129,1.0
tokio-rs/tokio,31436,3467,9.49,3805,141,0,Rust,2292,2616,0.8761
influxdata/influxdb,31391,4547,12.45,10939,95,3,Rust,12121,14171,0.8553
coolsnowwolf/lede,31343,3106,8.5,2051,7,4,C,8508,9328,0.9121
microsoft/graphrag,31327,712,1.95,721,36,2,Python,772,803,0.9614
microsoft/WSL,31323,3624,9.92,552,97,0,C++,11152,12076,0.9235
HKUDS/nanobot,31294,36,0.1,239,9,0,Python,126,543,0.232
alpinejs/alpine,31292,2293,6.28,694,146,9,HTML,613,613,1.0
mathiasbynens/dotfiles,31263,5299,14.51,44,0,580,Shell,255,393,0.6489
donnemartin/interactive-coding-challenges,31228,3967,10.86,176,0,669,Python,32,69,0.4638
SagerNet/sing-box,31209,1348,3.69,193,501,0,Go,2803,2967,0.9447
parallax/jsPDF,31173,5937,16.25,753,41,6,JavaScript,2485,2588,0.9602
motiondivision/motion,31162,2670,7.31,1197,0,0,TypeScript,1745,1917,0.9103
DevToys-app/DevToys,31058,1622,4.44,501,39,12,C#,664,979,0.6782
docsifyjs/docsify,31040,3396,9.3,783,16,0,JavaScript,1230,1311,0.9382
SortableJS/Sortable,31027,4463,12.22,248,31,25,JavaScript,1346,1825,0.7375
tqdm/tqdm,31014,3932,10.77,289,133,23,Python,594,1039,0.5717
fabricjs/fabric.js,30996,5751,15.75,2430,181,0,TypeScript,5782,6205,0.9318
pear-devs/pear-desktop,30995,2516,6.89,1630,87,3,TypeScript,1380,1962,0.7034
eriklindernoren/ML-From-Scratch,30985,3319,9.09,9,0,876,Python,37,78,0.4744
symfony/symfony,30971,5908,16.18,25605,603,0,PHP,21437,21788,0.9839
containers/podman,30949,3050,8.35,12221,236,0,Go,9562,10476,0.9128
iawia002/lux,30934,2935,8.04,304,86,70,Go,549,1074,0.5112
Lightning-AI/pytorch-lightning,30911,2535,6.94,9341,172,0,Python,6662,7499,0.8884
ascoders/weekly,30893,3276,8.97,136,193,546,JavaScript,366,370,0.9892
microsoft/calculator,30870,2597,7.11,913,0,75,C++,728,1147,0.6347
alibaba/p3c,30826,3181,8.71,62,0,580,Kotlin,698,859,0.8126
webtorrent/webtorrent,30820,4528,12.4,970,229,5,JavaScript,1608,1675,0.96
seaweedfs/seaweedfs,30818,4256,11.65,3690,289,0,Go,2918,3545,0.8231
blueimp/jQuery-File-Upload,30807,5577,15.27,119,0,1019,PHP,3256,3305,0.9852
aristocratos/btop,30798,1767,4.84,372,54,5,C++,481,905,0.5315
wshobson/agents,30794,227,0.62,53,0,2,Python,58,59,0.9831
AMAI-GmbH/AI-Expert-Roadmap,30788,1961,5.37,14,0,178,JavaScript,54,70,0.7714
mantinedev/mantine,30764,1887,5.17,1591,291,0,TypeScript,3427,3456,0.9916
blakeblackshear/frigate,30728,2599,7.12,3747,76,0,TypeScript,5803,5889,0.9854
transloadit/uppy,30666,3766,10.31,3276,392,0,TypeScript,2351,2520,0.9329
refined-github/refined-github,30656,3675,10.06,3608,186,0,TypeScript,4611,4704,0.9802
ityouknow/spring-boot-examples,30643,3411,9.34,7,0,842,Java,100,110,0.9091
iperov/DeepFaceLive,30604,1910,5.23,13,35,486,Python,143,144,0.9931
s0md3v/roop,30548,1016,2.78,82,6,567,Python,0,0,
layui/layui,30542,3821,10.46,673,173,1,JavaScript,1399,1454,0.9622
dgtlmoon/changedetection.io,30514,1867,5.11,1056,203,0,Python,1327,1621,0.8186
VSCodium/vscodium,30411,2765,7.57,633,267,0,Shell,1510,1646,0.9174
ValveSoftware/Proton,30368,2917,7.99,13,76,0,C++,4059,9032,0.4494
VincentGarreau/particles.js,30353,4202,11.5,21,6,711,JavaScript,107,413,0.2591
sequelize/sequelize,30349,5709,15.63,5023,490,1,TypeScript,9522,10425,0.9134
chinabugotech/hutool,30342,4348,11.9,515,156,2,Java,3090,3092,0.9994
pmndrs/react-three-fiber,30333,2569,7.03,690,131,5,TypeScript,1166,1172,0.9949
trailofbits/algo,30329,3585,9.82,686,4,5,Python,1585,1650,0.9606
facebook/folly,30277,5028,13.77,13,281,0,C++,943,1249,0.755
tatsu-lab/stanford_alpaca,30271,1094,3.0,6,0,600,Python,98,268,0.3657
jobbole/awesome-python-cn,30263,3779,10.35,51,0,1288,Makefile,18,35,0.5143
songquanpeng/one-api,30263,1052,2.88,287,55,59,JavaScript,897,1798,0.4989
openai/openai-python,30243,1960,5.37,1053,369,0,Python,1043,1206,0.8648
cfenollosa/os-tutorial,30225,4179,11.44,11,0,33,C,106,182,0.5824
AvaloniaUI/Avalonia,30214,4476,12.25,5658,120,0,C#,6492,8326,0.7797
spf13/viper,30212,4359,11.93,520,35,55,Go,923,931,0.9914
cheeriojs/cheerio,30173,5265,14.41,3123,62,0,TypeScript,1210,1231,0.9829
telegramdesktop/tdesktop,30133,4329,11.85,1859,830,0,C++,14897,15796,0.9431
dragonflydb/dragonfly,30130,1549,4.24,4001,114,0,C++,1859,2138,0.8695
grafana/k6,30073,3640,9.97,2460,85,0,Go,1836,2566,0.7155
jumpserver/jumpserver,30054,4266,11.68,7872,264,0,Python,7582,7647,0.9915
sunface/rust-course,30043,2771,7.59,813,0,0,Rust,154,219,0.7032
vercel/turborepo,29972,1616,4.42,7201,690,0,Rust,1946,2054,0.9474
StevenBlack/hosts,29971,5078,13.9,507,833,2,Python,2073,2208,0.9389
xuxueli/xxl-job,29965,3754,10.28,124,42,26,Java,3197,3340,0.9572
kingToolbox/WindTerm,29961,2342,6.41,1,32,362,C,587,2918,0.2012
encode/django-rest-framework,29930,5486,15.02,3108,21,5,Python,3907,3946,0.9901
square/leakcanary,29909,3966,10.86,933,43,3,Kotlin,1514,1656,0.9143
ageron/handson-ml2,29907,2617,7.16,65,0,14,Jupyter Notebook,304,518,0.5869
GoogleChrome/lighthouse,29893,3653,10.0,5564,130,0,JavaScript,8772,9259,0.9474
zellij-org/zellij,29831,2015,5.52,1395,65,0,Rust,1197,2532,0.4727
hashicorp/consul,29788,4507,12.34,14142,256,0,Go,4285,5580,0.7679
apolloconfig/apollo,29779,3657,10.01,1498,42,12,Java,3258,3399,0.9585
foundation/foundation-sites,29760,5260,14.4,2958,79,411,HTML,8179,8240,0.9926
iced-rs/iced,29756,2428,6.65,1161,18,4,Rust,964,1309,0.7364
nvim-lua/kickstart.nvim,29746,1354,3.71,265,0,9,Lua,637,670,0.9507
qarmin/czkawka,29738,2015,5.52,469,40,2,Rust,694,1118,0.6208
openssl/openssl,29707,4800,13.14,145,297,2,C,9973,11184,0.8917
filamentphp/filament,29694,2181,5.97,5806,823,0,PHP,3306,3327,0.9937
nginx/nginx,29686,3912,10.71,157,14,0,C,252,476,0.5294
sampotts/plyr,29639,4041,11.06,393,93,65,JavaScript,1225,2116,0.5789
