owner,repo,status,message
prestodb,presto,ok,
apache,pulsar,ok,
zhisheng17,flink-learning,ok,
java-decompiler,jd-gui,ok,
supertokens,supertokens-core,ok,
zaproxy,zaproxy,ok,
quarkusio,quarkus,ok,
cryptomator,cryptomator,ok,
apache,doris,ok,
elastic,logstash,ok,
arduino,Arduino,ok,
hdodenhof,CircleImageView,ok,
eclipse-vertx,vert.x,ok,
Tencent,QMUI_Android,ok,
alibaba,ARouter,ok,
theonedev,onedev,ok,
GoogleContainerTools,jib,ok,
apache,dolphinscheduler,ok,
languagetool-org,languagetool,ok,
DuGuQiuBai,Java,ok,
Netflix,zuul,ok,
apache,hadoop,ok,
janishar,mit-deep-learning-book-pdf,ok,
kekingcn,kkFileView,ok,
sqshq,piggymetrics,ok,
orhanobut,logger,ok,
xpipe-io,xpipe,ok,
lgvalle,Material-Animations,ok,
seaswalker,spring-analysis,ok,
JessYanCoding,AndroidAutoSize,ok,
LuckSiege,PictureSelector,ok,
tink-crypto,tink,ok,
Bigkoo,Android-PickerView,ok,
pinpoint-apm,pinpoint,ok,
projectlombok,lombok,error,"Command '['java', '-jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/tools/ck/target/ck-0.7.1-SNAPSHOT-jar-with-dependencies.jar', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/work/projectlombok__lombok', 'true', '0', 'false', '/home/pedro/Desktop/Projetos/LabExperimentacaoDeSoftware/enunciado2/output/projectlombok__lombok']' returned non-zero exit status 1."
macrozheng,mall-learning,ok,
pxb1988,dex2jar,ok,
youth5201314,banner,ok,
alibaba,COLA,ok,
macrozheng,mall-swarm,ok,
codecentric,spring-boot-admin,ok,
apache,druid,ok,
metersphere,metersphere,ok,
Netflix,conductor,ok,
google,guice,ok,
plantuml,plantuml,ok,
