pair_id,repository,owner,repo,scenario_id,scenario_name,run_number,rest_elapsed_ms,graphql_elapsed_ms,delta_elapsed_ms,delta_elapsed_pct,rest_response_bytes,graphql_response_bytes,delta_response_bytes,delta_response_pct,rest_request_count,graphql_request_count
meta-llama/llama:C1:run005,meta-llama/llama,meta-llama,llama,C1,repository_metadata,5,531.296,403.500,-127.796,-24.054,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run006,meta-llama/llama,meta-llama,llama,C1,repository_metadata,6,833.627,397.246,-436.381,-52.347,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run007,meta-llama/llama,meta-llama,llama,C1,repository_metadata,7,426.113,613.560,187.447,43.990,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run008,meta-llama/llama,meta-llama,llama,C1,repository_metadata,8,431.063,439.112,8.049,1.867,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run009,meta-llama/llama,meta-llama,llama,C1,repository_metadata,9,517.809,498.314,-19.495,-3.765,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run010,meta-llama/llama,meta-llama,llama,C1,repository_metadata,10,545.219,357.313,-187.906,-34.464,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run011,meta-llama/llama,meta-llama,llama,C1,repository_metadata,11,5568.377,398.606,-5169.771,-92.842,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run012,meta-llama/llama,meta-llama,llama,C1,repository_metadata,12,509.818,478.701,-31.117,-6.104,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run013,meta-llama/llama,meta-llama,llama,C1,repository_metadata,13,5502.486,442.308,-5060.178,-91.962,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run014,meta-llama/llama,meta-llama,llama,C1,repository_metadata,14,579.326,480.229,-99.097,-17.106,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run015,meta-llama/llama,meta-llama,llama,C1,repository_metadata,15,505.898,477.587,-28.311,-5.596,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run016,meta-llama/llama,meta-llama,llama,C1,repository_metadata,16,508.316,514.648,6.332,1.246,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run017,meta-llama/llama,meta-llama,llama,C1,repository_metadata,17,497.423,547.794,50.371,10.126,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run018,meta-llama/llama,meta-llama,llama,C1,repository_metadata,18,499.424,473.107,-26.317,-5.269,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run019,meta-llama/llama,meta-llama,llama,C1,repository_metadata,19,532.329,452.907,-79.422,-14.920,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run020,meta-llama/llama,meta-llama,llama,C1,repository_metadata,20,437.290,416.725,-20.565,-4.703,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run021,meta-llama/llama,meta-llama,llama,C1,repository_metadata,21,553.958,430.739,-123.219,-22.243,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run022,meta-llama/llama,meta-llama,llama,C1,repository_metadata,22,548.530,519.200,-29.330,-5.347,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run023,meta-llama/llama,meta-llama,llama,C1,repository_metadata,23,406.799,418.546,11.747,2.888,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run024,meta-llama/llama,meta-llama,llama,C1,repository_metadata,24,444.310,509.886,65.576,14.759,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run025,meta-llama/llama,meta-llama,llama,C1,repository_metadata,25,468.528,552.851,84.323,17.997,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run026,meta-llama/llama,meta-llama,llama,C1,repository_metadata,26,500.452,505.897,5.445,1.088,6189,430,-5759,-93.052,1,1
meta-llama/llama:C1:run027,meta-llama/llama,meta-llama,llama,C1,repository_metadata,27,521.895,453.583,-68.312,-13.089,6189,430,-5759,-93.052,1,1
